position,test_season,n_test,mae,rmse,spearman
WR,2017,159,39.95327694622976,50.83759259147472,0.7454546473693652
WR,2018,159,38.29372185503162,50.79546100717276,0.6944970460903116
WR,2019,169,37.65971652348367,47.215007348145356,0.7279204372827561
WR,2020,187,38.806829024062445,52.66717966242419,0.6616293708517778
WR,2021,186,33.10985618873309,40.5494065764466,0.7592442065697641
WR,2022,167,35.50766398227143,45.68717363786545,0.7906555421169799
WR,2023,173,43.74780304676536,51.792792601848056,0.7531672848699046
WR,2024,178,30.534233513521347,41.5716858368577,0.8040750661843311
