position,test_season,n_test,mae,rmse,spearman
RB,2017,104,47.68432891712739,62.566687614079896,0.6377278575608323
RB,2018,107,45.44762242540021,58.585676974531566,0.6926027443527562
RB,2019,114,44.295220002291494,58.91698983030889,0.6614464567574757
RB,2020,123,41.44294457815527,54.69071831639312,0.7145093803779541
RB,2021,120,49.205505014802014,62.0026324177784,0.7081680917769232
RB,2022,114,53.38546106129362,68.15930418234237,0.6006715774910728
RB,2023,108,46.345914002877684,58.398500525885794,0.7816783012326568
RB,2024,106,45.55980591603045,63.40355346904451,0.733776133169946
