position,test_season,n_test,mae,spearman
RB,2017,104,50.260818747832225,0.6309208179248184
RB,2018,107,46.49491792157432,0.7215723734713765
RB,2019,114,45.23685220024042,0.6224235625009291
RB,2020,123,41.56108472009985,0.6883336969764551
RB,2021,120,49.42039398132761,0.7100856678606069
RB,2022,114,55.317317061675226,0.5819019920250756
RB,2023,108,50.869147129588654,0.7655622542020138
RB,2024,106,46.64949723126753,0.7584634479269685
